id,class
0,9
1,3
2,8
3,19
4,15
5,8
6,19
7,3
8,12
9,14
10,13
11,8
12,9
13,13
14,15
15,8
16,13
17,18
18,8
19,19
20,9
21,19
22,19
23,9
24,3
25,3
26,3
27,13
28,13
29,19
30,1
31,8
32,3
33,3
34,8
35,8
36,9
37,13
38,3
39,13
40,15
41,9
42,14
43,3
44,13
45,3
46,14
47,15
48,13
49,8
50,19
51,14
52,8
53,9
54,18
55,9
56,3
57,17
58,13
59,14
60,13
61,1
62,14
63,13
64,9
65,15
66,3
67,1
68,19
69,15
70,8
71,13
72,9
73,12
74,13
75,12
76,6
77,12
78,3
79,13
80,19
81,8
82,14
83,9
84,15
85,9
86,9
87,14
88,12
89,3
90,9
91,8
92,14
93,3
94,3
95,8
96,15
97,14
98,13
99,3
